Site ,VES,D1,D2,D3,D4,D5,D6,D7,D8,D9* (10),T1,T2,T3,T4,T5,T6,T7,T8,T9,Latitude (21),Longitude,HII,Standard HII,Frag Name,Forest Frag Code,Forest Type,Forest Type Code,DC,Wetland,Code,WPU,WetForest,WetFor,Simple,Date,Date1,Date2,StanDate,Julian1,"Avg,STD"
Eva Marsh WMA (EVA),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,43,-71.98,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,6/9/2016,-,-,-0.407351655,16161,
Farmington River WMA (FR5),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.23,-73.11,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,6/1/2016,-,-,-0.427938123,16153,
Farmington River WMA (FR6),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,42.23,-73.11,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Freshwater Forested/Shrub Wetland,4,1,12,Pine Forested,2,6/1/2016,-,-,-0.427938123,16153,
Fisk Meadow WMA (Fisk Swamp),-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42.39032,-72.82222,14,-0.69,Interior,7,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,7/20/2017,-,-,2.268889153,17201,
Forest Peters WMA (Burtt Wildlife Pond),-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,43.201684,-71.204774,18,-0.28,Interior,7,White/Red/Jack Pine Group,2,1,Lake,5,2,2,Pine Pond,4,8/1/2016,-,-,-0.270966306,16214,
Frederick Municipal Forest,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,39.507952,-77.496272,14,-0.69,Edge,5,Maple/Beech/Birch Group,3,0,Freshwater Pond,1,2,4,Maple Pond,3,6/23/2016,-,-,-0.371325336,16175,
Frederick Municipal Forest (Alex's Pond),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,39.508618,-77.494933,14,-0.69,Edge,5,Maple/Beech/Birch Group,3,0,Freshwater Forested/Shrub Wetland,4,1,14,Maple Forested,1,6/23/2016,-,-,-0.371325336,16175,
Frederick Municipal Forest (Kathrine's Pond),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,39.506828,-77.49767,14,-0.69,Edge,5,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,6/23/2016,-,-,-0.371325336,16175,
Frederick Municipal Forest (Laura's Pond),-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,39.508687,-77.494219,14,-0.69,Edge,5,Oak/Hickory Group,1,0,Freshwater Pond,1,2,1,Oak Pond,3,6/23/2016,-,-,-0.371325336,16175,
Frog Pond 1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,41.03011,-77.64115,18,-0.28,Perforated,6,Oak/Hickory Group,1,0,Freshwater Emergent Wetland,3,1,5,Oak Emergent,1,6/1/2016,-,-,-0.427938123,16153,
